%Year	PCT	R	AVG	OBP	SLG	SB	ERA
1903	0.65	708	0.27	0.31	0.39	141	2.57
1904	0.61	608	0.24	0.3	0.34	101	2.12
1905	0.51	579	0.23	0.3	0.31	131	2.84
1906	0.31	463	0.23	0.28	0.3	99	3.41
1907	0.39	464	0.23	0.28	0.29	125	2.45
1908	0.48	564	0.24	0.29	0.31	167	2.28
1909	0.58	597	0.26	0.32	0.33	215	2.59
1910	0.52	638	0.25	0.32	0.35	194	2.45
1911	0.51	680	0.27	0.35	0.36	190	2.74
1912	0.69	799	0.27	0.35	0.38	185	2.76
1913	0.52	631	0.26	0.33	0.36	189	2.94
1914	0.59	589	0.25	0.32	0.33	177	2.36
1915	0.66	669	0.26	0.33	0.33	118	2.39
1916	0.59	550	0.24	0.31	0.31	129	2.48
1917	0.59	555	0.24	0.31	0.31	105	2.2
1918	0.59	474	0.24	0.32	0.32	110	2.31
1919	0.48	564	0.26	0.33	0.34	108	3.31
1920	0.47	650	0.26	0.34	0.35	98	3.82
1921	0.48	668	0.27	0.33	0.36	83	3.98
1922	0.39	598	0.26	0.31	0.35	60	4.3
1923	0.4	584	0.26	0.31	0.35	77	4.2
1924	0.43	737	0.27	0.35	0.37	79	4.35
1925	0.3	639	0.26	0.33	0.36	42	4.97
1926	0.3	562	0.25	0.32	0.34	48	4.72
1927	0.33	597	0.25	0.32	0.35	82	4.72
1928	0.37	589	0.26	0.31	0.36	99	4.39
1929	0.37	605	0.26	0.32	0.36	85	4.43
1930	0.33	612	0.26	0.31	0.36	42	4.68
1931	0.4	625	0.26	0.31	0.34	42	4.6
1932	0.27	566	0.25	0.31	0.35	46	5.02
1933	0.42	700	0.27	0.33	0.37	58	4.35
1934	0.5	820	0.27	0.35	0.38	116	4.32
1935	0.51	718	0.27	0.35	0.39	91	4.05
1936	0.48	775	0.27	0.34	0.4	55	4.39
1937	0.52	821	0.28	0.35	0.41	79	4.48
1938	0.59	902	0.29	0.37	0.43	55	4.46
1939	0.58	890	0.29	0.36	0.43	42	4.56
1940	0.53	872	0.28	0.35	0.44	55	4.89
1941	0.54	865	0.28	0.36	0.43	67	4.19
1942	0.61	761	0.27	0.35	0.4	68	3.44
1943	0.44	563	0.24	0.3	0.33	86	3.45
1944	0.5	739	0.27	0.33	0.38	60	3.82
1945	0.46	599	0.26	0.33	0.34	72	3.8
1946	0.67	792	0.27	0.35	0.4	45	3.38
1947	0.53	720	0.26	0.34	0.38	41	3.81
1948	0.61	907	0.27	0.37	0.4	38	4.26
1949	0.62	896	0.28	0.38	0.42	43	3.97
1950	0.61	1027	0.3	0.38	0.46	32	4.88
1951	0.56	804	0.26	0.35	0.39	20	4.14
1952	0.49	668	0.25	0.32	0.37	59	3.8
1953	0.54	656	0.26	0.33	0.38	33	3.58
1954	0.44	700	0.26	0.34	0.39	51	4.01
1955	0.54	755	0.26	0.35	0.4	43	3.72
1956	0.54	780	0.27	0.36	0.41	28	4.17
1957	0.53	721	0.26	0.34	0.4	29	3.88
1958	0.51	697	0.25	0.34	0.4	29	3.92
1959	0.48	726	0.25	0.33	0.38	68	4.17
1960	0.42	658	0.26	0.33	0.38	34	4.62
1961	0.46	729	0.25	0.33	0.37	56	4.29
1962	0.47	707	0.25	0.32	0.4	39	4.22
1963	0.47	666	0.25	0.31	0.4	27	3.97
1964	0.44	688	0.25	0.32	0.41	18	4.5
1965	0.38	669	0.25	0.32	0.4	47	4.24
1966	0.44	655	0.24	0.31	0.37	35	3.92
1967	0.56	722	0.25	0.32	0.39	68	3.36
1968	0.53	614	0.23	0.31	0.35	76	3.33
1969	0.53	743	0.25	0.33	0.41	41	3.92
1970	0.53	786	0.26	0.33	0.42	50	3.87
1971	0.52	691	0.25	0.32	0.39	51	3.8
1972	0.54	640	0.24	0.32	0.37	66	3.47
1973	0.54	738	0.26	0.34	0.4	114	3.65
1974	0.51	696	0.26	0.33	0.37	104	3.72
1975	0.59	796	0.27	0.34	0.41	66	3.98
1976	0.51	716	0.26	0.32	0.4	95	3.52
1977	0.6	859	0.28	0.34	0.46	66	4.11
1978	0.6	796	0.26	0.33	0.42	74	3.54
1979	0.56	841	0.28	0.34	0.45	60	4.03
1980	0.51	757	0.28	0.34	0.43	79	4.38
1981	0.54	519	0.27	0.34	0.39	32	3.81
1982	0.54	753	0.27	0.34	0.4	42	4.03
1983	0.48	724	0.27	0.33	0.4	30	4.34
1984	0.53	810	0.28	0.34	0.44	38	4.18
1985	0.5	800	0.28	0.35	0.42	66	4.06
1986	0.59	794	0.27	0.34	0.41	41	3.93
1987	0.48	842	0.27	0.35	0.43	77	4.77
1988	0.54	813	0.28	0.36	0.42	65	3.97
1989	0.51	774	0.27	0.35	0.4	56	4.01
1990	0.54	699	0.27	0.34	0.39	53	3.72
1991	0.51	731	0.26	0.34	0.4	59	4.01
1992	0.45	599	0.24	0.32	0.34	44	3.58
1993	0.49	686	0.26	0.33	0.39	73	3.77
1994	0.47	552	0.26	0.33	0.42	81	4.93
1995	0.59	791	0.28	0.35	0.45	99	4.39
1996	0.52	928	0.28	0.35	0.45	91	5
1997	0.48	850	0.29	0.35	0.46	68	4.88
1998	0.56	876	0.28	0.34	0.46	72	4.18
1999	0.58	836	0.27	0.35	0.44	67	4
